week,category,weekly_rank,show_title,weekly_hours_viewed,cumulative_weeks_in_top_10
05/09/2021,Films (Non-English),8,Thimmarusu,1220000,1
05/09/2021,Films (Non-English),9,I Don't Know Whether to Slit My Wrists or Leave Them Long,1130000,1
05/09/2021,Films (Non-English),10,Pinkfong & Baby Shark's Space Adventure,1120000,1
05/09/2021,TV (English),1,Clickbait,76540000,2
05/09/2021,TV (English),2,Good Girls,37580000,1
05/09/2021,TV (English),3,Turning Point: 9/11 and the War on Terror,24050000,1
05/09/2021,TV (English),4,Manifest,15660000,2
05/09/2021,TV (English),5,The 100,13590000,1
05/09/2021,TV (English),6,Outer Banks,12910000,6
05/09/2021,TV (English),7,CoComelon,11050000,4
05/09/2021,TV (English),8,Manifest,10320000,6
05/09/2021,TV (English),9,Good Girls,9590000,1
05/09/2021,TV (English),10,CoComelon,9140000,1
05/09/2021,TV (Non-English),1,Money Heist,201910000,1
05/09/2021,TV (Non-English),2,Money Heist,22710000,1
05/09/2021,TV (Non-English),3,D.P.,19170000,2
05/09/2021,TV (Non-English),4,Money Heist,14870000,1
05/09/2021,TV (Non-English),5,The Snitch Cartel: Origins,11530000,6
05/09/2021,TV (Non-English),6,"Newly Rich, Newly Poor",11100000,10
05/09/2021,TV (Non-English),7,Hometown Cha-Cha-Cha,9630000,1
05/09/2021,TV (Non-English),8,Carrossel,9010000,9
05/09/2021,TV (Non-English),9,"Yo soy Betty, la fea",7200000,2
05/09/2021,TV (Non-English),10,Money Heist,7070000,1
29/08/2021,Films (English),1,Sweet Girl,48140000,2
29/08/2021,Films (English),2,He's All That,42810000,1
29/08/2021,Films (English),3,SAS: Rise of the Black Swan,35650000,1
29/08/2021,Films (English),4,The Loud House Movie,16910000,2
29/08/2021,Films (English),5,The Old Ways,13720000,1
29/08/2021,Films (English),6,Vivo,13430000,4
29/08/2021,Films (English),7,The Witcher: Nightmare of the Wolf,13300000,1
29/08/2021,Films (English),8,The Secret Life of Pets,10860000,2
29/08/2021,Films (English),9,The Kissing Booth 3,9560000,3
29/08/2021,Films (English),10,Tomb Raider,8430000,1
29/08/2021,Films (Non-English),1,Black Island,6570000,2
29/08/2021,Films (Non-English),2,Out of my league,5790000,2
29/08/2021,Films (Non-English),3,The Secret Diary of an Exchange Student,5090000,2
29/08/2021,Films (Non-English),4,Blood Red Sky,3020000,6
29/08/2021,Films (Non-English),5,Rurouni Kenshin: The Beginning,2280000,5
29/08/2021,Films (Non-English),6,The Last Mercenary,2000000,5
29/08/2021,Films (Non-English),7,El infierno,1560000,4
29/08/2021,Films (Non-English),8,Mimi,1510000,5
29/08/2021,Films (Non-English),9,Bartkowiak,1460000,3
29/08/2021,Films (Non-English),10,Shiny_Flakes: The Teenage Drug Lord,1440000,4
29/08/2021,TV (English),1,Clickbait,51280000,1
29/08/2021,TV (English),2,Outer Banks,20790000,5
29/08/2021,TV (English),3,Manifest,17740000,1
29/08/2021,TV (English),4,The Chair,14020000,1
29/08/2021,TV (English),5,Outer Banks,13860000,5
29/08/2021,TV (English),6,Manifest,12410000,5
29/08/2021,TV (English),7,For Life,11180000,3
29/08/2021,TV (English),8,CoComelon,11030000,3
29/08/2021,TV (English),9,All American,10480000,5
29/08/2021,TV (English),10,Hit & Run,10090000,4
29/08/2021,TV (Non-English),1,The Snitch Cartel: Origins,15480000,5
29/08/2021,TV (Non-English),2,"Newly Rich, Newly Poor",12120000,9
29/08/2021,TV (Non-English),3,AlRawabi School for Girls,11500000,3
29/08/2021,TV (Non-English),4,Hospital Playlist,10980000,5
29/08/2021,TV (Non-English),5,Carrossel,9750000,8
29/08/2021,TV (Non-English),6,Valeria,9020000,3
29/08/2021,TV (Non-English),7,D.P.,8430000,1
29/08/2021,TV (Non-English),8,Open Your Eyes,8220000,1
29/08/2021,TV (Non-English),9,The Cook of Castamar,7550000,8
29/08/2021,TV (Non-English),10,"Yo soy Betty, la fea",7340000,1
22/08/2021,Films (English),1,Sweet Girl,57160000,1
22/08/2021,Films (English),2,The Kissing Booth 3,26170000,2
22/08/2021,Films (English),3,Beckett,23870000,2
22/08/2021,Films (English),4,Vivo,21960000,3
22/08/2021,Films (English),5,The Loud House Movie,13860000,1
22/08/2021,Films (English),6,The Secret Life of Pets,10110000,1
22/08/2021,Films (English),7,Hotel Transylvania 3: Summer Vacation,8550000,3
22/08/2021,Films (English),8,The Girl Next Door,6900000,1
22/08/2021,Films (English),9,Alvin and the Chipmunks: Chipwrecked,6870000,1
22/08/2021,Films (English),10,Resort to Love,6320000,4
22/08/2021,Films (Non-English),1,Black Island,17330000,1
22/08/2021,Films (Non-English),2,The Secret Diary of an Exchange Student,7910000,1
22/08/2021,Films (Non-English),3,Out of my league,7120000,1
22/08/2021,Films (Non-English),4,Blood Red Sky,4520000,5
22/08/2021,Films (Non-English),5,Rurouni Kenshin: The Beginning,3630000,4
22/08/2021,Films (Non-English),6,The Last Mercenary,3340000,4
22/08/2021,Films (Non-English),7,Sputnik,3290000,1
22/08/2021,Films (Non-English),8,El infierno,2650000,3
22/08/2021,Films (Non-English),9,Mimi,2340000,4
22/08/2021,Films (Non-English),10,Shiny_Flakes: The Teenage Drug Lord,2250000,3
22/08/2021,TV (English),1,Outer Banks,31800000,4
22/08/2021,TV (English),2,Hit & Run,20660000,3
22/08/2021,TV (English),3,Outer Banks,20300000,4
22/08/2021,TV (English),4,All American,14990000,4
22/08/2021,TV (English),5,For Life,14540000,2
22/08/2021,TV (English),6,Bake Squad,13220000,1
22/08/2021,TV (English),7,Gabby's Dollhouse,12180000,2
22/08/2021,TV (English),8,Brand New Cherry Flavor,11140000,1
22/08/2021,TV (English),9,CoComelon,10990000,2
22/08/2021,TV (English),10,The Good Doctor,10430000,6
22/08/2021,TV (Non-English),1,The Snitch Cartel: Origins,19260000,4
22/08/2021,TV (Non-English),2,AlRawabi School for Girls,18070000,2
22/08/2021,TV (Non-English),3,Valeria,15640000,2
22/08/2021,TV (Non-English),4,Gone for Good,14920000,2
22/08/2021,TV (Non-English),5,"Newly Rich, Newly Poor",12080000,8
22/08/2021,TV (Non-English),6,Hospital Playlist,10340000,4
22/08/2021,TV (Non-English),7,Carrossel,9860000,7
22/08/2021,TV (Non-English),8,"Nevertheless,",9030000,5
22/08/2021,TV (Non-English),9,The Cook of Castamar,8820000,7
22/08/2021,TV (Non-English),10,Control Z,8250000,3
15/08/2021,Films (English),1,The Kissing Booth 3,90860000,1
15/08/2021,Films (English),2,Vivo,37050000,2
15/08/2021,Films (English),3,Beckett,23580000,1
15/08/2021,Films (English),4,Hotel Transylvania 3: Summer Vacation,21460000,2
15/08/2021,Films (English),5,Aftermath,15870000,2
15/08/2021,Films (English),6,Resort to Love,9860000,3
15/08/2021,Films (English),7,The Kissing Booth,8590000,1
15/08/2021,Films (English),8,The Kissing Booth 2,8370000,1
15/08/2021,Films (English),9,Dead Man Down,7580000,2
15/08/2021,Films (English),10,Untold: Malice at the Palace,6450000,1
15/08/2021,Films (Non-English),1,The Swarm,11470000,2
15/08/2021,Films (Non-English),2,The Last Mercenary,7570000,3
15/08/2021,Films (Non-English),3,Rurouni Kenshin: The Beginning,6550000,3
15/08/2021,Films (Non-English),4,Blood Red Sky,6470000,4
15/08/2021,Films (Non-English),5,El infierno,4890000,2
15/08/2021,Films (Non-English),6,Mimi,3630000,3
15/08/2021,Films (Non-English),7,Shiny_Flakes: The Teenage Drug Lord,3440000,2
15/08/2021,Films (Non-English),8,Rurouni Kenshin: The Final,2820000,3
15/08/2021,Films (Non-English),9,Navarasa,2800000,2
15/08/2021,Films (Non-English),10,Kingdom: Ashin of the North,2190000,4
15/08/2021,TV (English),1,Outer Banks,51600000,3
15/08/2021,TV (English),2,Hit & Run,45190000,2
15/08/2021,TV (English),3,Outer Banks,30390000,3
15/08/2021,TV (English),4,All American,20870000,3
15/08/2021,TV (English),5,Cocaine Cowboys: The Kings of Miami,13870000,2
15/08/2021,TV (English),6,For Life,13790000,1
15/08/2021,TV (English),7,Virgin River,13220000,6
15/08/2021,TV (English),8,Gabby's Dollhouse,13170000,1
15/08/2021,TV (English),9,Sex/Life,12190000,7
15/08/2021,TV (English),10,The Good Doctor,11810000,5
15/08/2021,TV (Non-English),1,The Snitch Cartel: Origins,23840000,3
15/08/2021,TV (Non-English),2,Control Z,16400000,2
15/08/2021,TV (Non-English),3,SHAMAN KING,12970000,1
15/08/2021,TV (Non-English),4,"Newly Rich, Newly Poor",12750000,7
15/08/2021,TV (Non-English),5,The Cook of Castamar,11950000,6
15/08/2021,TV (Non-English),6,AlRawabi School for Girls,11620000,1
15/08/2021,TV (Non-English),7,Carrossel,10640000,6
15/08/2021,TV (Non-English),8,Gone for Good,9750000,1
15/08/2021,TV (Non-English),9,Valeria,9600000,1
15/08/2021,TV (Non-English),10,Hospital Playlist,9500000,3
08/08/2021,Films (English),1,Aftermath,24200000,1
08/08/2021,Films (English),2,Resort to Love,23480000,2
08/08/2021,Films (English),3,Vivo,21940000,1
08/08/2021,Films (English),4,The Vault,10870000,1
08/08/2021,Films (English),5,The Losers,8040000,1
08/08/2021,Films (English),6,The Last Letter From Your Lover,6850000,3
08/08/2021,Films (English),7,Hotel Transylvania 3: Summer Vacation,6250000,1
08/08/2021,Films (English),8,Dead Man Down,5840000,1
08/08/2021,Films (English),9,Wish Dragon,5150000,5
08/08/2021,Films (English),10,World Trade Center,5050000,1
08/08/2021,Films (Non-English),1,The Last Mercenary,23890000,2
08/08/2021,Films (Non-English),2,Rurouni Kenshin: The Beginning,15080000,2
08/08/2021,Films (Non-English),3,Blood Red Sky,13300000,3
08/08/2021,Films (Non-English),4,The Swarm,11380000,1
08/08/2021,Films (Non-English),5,Mimi,5140000,2
08/08/2021,Films (Non-English),6,Bartkowiak,4570000,2
08/08/2021,Films (Non-English),7,El infierno,4420000,1
08/08/2021,Films (Non-English),8,Navarasa,3520000,1
08/08/2021,Films (Non-English),9,Kingdom: Ashin of the North,3450000,3
08/08/2021,Films (Non-English),10,Shiny_Flakes: The Teenage Drug Lord,3340000,1
08/08/2021,TV (English),1,Outer Banks,105330000,2
08/08/2021,TV (English),2,Outer Banks,45080000,2
08/08/2021,TV (English),3,All American,33020000,2
08/08/2021,TV (English),4,Hit & Run,23570000,1
08/08/2021,TV (English),5,Cocaine Cowboys: The Kings of Miami,18890000,1
08/08/2021,TV (English),6,Virgin River,18840000,5
08/08/2021,TV (English),7,Top Secret UFO Projects: Declassified,17040000,1
08/08/2021,TV (English),8,Sex/Life,15500000,6
08/08/2021,TV (English),9,The Good Doctor,14090000,4
08/08/2021,TV (English),10,Car Masters: Rust to Riches,13930000,1
08/08/2021,TV (Non-English),1,The Snitch Cartel: Origins,26880000,2
08/08/2021,TV (Non-English),2,Control Z,25430000,1
08/08/2021,TV (Non-English),3,The Cook of Castamar,15800000,5
08/08/2021,TV (Non-English),4,"Newly Rich, Newly Poor",14510000,6
08/08/2021,TV (Non-English),5,Carrossel,11280000,5
08/08/2021,TV (Non-English),6,Hunter X Hunter (2011),9890000,1
08/08/2021,TV (Non-English),7,Control Z,8580000,1
08/08/2021,TV (Non-English),8,How to Sell Drugs Online (Fast),8580000,2
08/08/2021,TV (Non-English),9,"Nevertheless,",7960000,4
08/08/2021,TV (Non-English),10,Too Hot to Handle: Brazil,7470000,3
01/08/2021,Films (English),1,Resort to Love,28050000,1
01/08/2021,Films (English),2,The Last Letter From Your Lover,18890000,2
01/08/2021,Films (English),3,Trollhunters: Rise of the Titans,8960000,2
01/08/2021,Films (English),4,Fear Street Part 1: 1994,6570000,5
01/08/2021,Films (English),5,Wish Dragon,6290000,4
01/08/2021,Films (English),6,Fear Street Part 3: 1666,6190000,3
01/08/2021,Films (English),7,Twilight,5840000,3
01/08/2021,Films (English),8,Fear Street Part 2: 1978,5840000,4
01/08/2021,Films (English),9,The Twilight Saga: Breaking Dawn: Part 2,5200000,2
01/08/2021,Films (English),10,The Twilight Saga: New Moon,5030000,2
01/08/2021,Films (Non-English),1,Blood Red Sky,52370000,2
01/08/2021,Films (Non-English),2,The Last Mercenary,16120000,1
01/08/2021,Films (Non-English),3,Kingdom: Ashin of the North,15120000,2
01/08/2021,Films (Non-English),4,Mimi,9210000,1
01/08/2021,Films (Non-English),5,Bartkowiak,9210000,1
01/08/2021,Films (Non-English),6,Rurouni Kenshin: The Beginning,8610000,1
01/08/2021,Films (Non-English),7,Chernobyl 1986,5570000,2
01/08/2021,Films (Non-English),8,A Perfect Fit,3130000,3
01/08/2021,Films (Non-English),9,Major Grom: Plague Doctor,2770000,4
01/08/2021,Films (Non-English),10,Words Bubble Up Like Soda Pop,2180000,1
01/08/2021,TV (English),1,Outer Banks,100160000,1
01/08/2021,TV (English),2,All American,43970000,1
01/08/2021,TV (English),3,Virgin River,28320000,4
01/08/2021,TV (English),4,Outer Banks,26240000,1
01/08/2021,TV (English),5,Never Have I Ever,23570000,3
01/08/2021,TV (English),6,Sex/Life,21620000,5
01/08/2021,TV (English),7,Love Is Blind,19370000,1
01/08/2021,TV (English),8,The Good Doctor,18510000,3
01/08/2021,TV (English),9,The Walking Dead,15050000,1
01/08/2021,TV (English),10,The Good Doctor,13240000,1
01/08/2021,TV (Non-English),1,The Cook of Castamar,24170000,4
01/08/2021,TV (Non-English),2,"Newly Rich, Newly Poor",16700000,5
01/08/2021,TV (Non-English),3,How to Sell Drugs Online (Fast),16470000,1
01/08/2021,TV (Non-English),4,Sky Rojo,15660000,2
01/08/2021,TV (Non-English),5,The Snitch Cartel: Origins,15150000,1
01/08/2021,TV (Non-English),6,Too Hot to Handle: Brazil,14230000,2
01/08/2021,TV (Non-English),7,Carrossel,12730000,4
01/08/2021,TV (Non-English),8,"Nevertheless,",7710000,3
01/08/2021,TV (Non-English),9,Chiquititas,7020000,1
01/08/2021,TV (Non-English),10,Elite,6920000,5
25/07/2021,Films (English),1,Trollhunters: Rise of the Titans,16130000,1
25/07/2021,Films (English),2,The Last Letter From Your Lover,13140000,1
25/07/2021,Films (English),3,Twilight,12550000,2
25/07/2021,Films (English),4,Fear Street Part 3: 1666,12350000,2
25/07/2021,Films (English),5,The Twilight Saga: New Moon,10320000,1
25/07/2021,Films (English),6,Fear Street Part 1: 1994,9240000,4
25/07/2021,Films (English),7,The Twilight Saga: Breaking Dawn: Part 2,9240000,1
25/07/2021,Films (English),8,The Twilight Saga: Eclipse,9220000,1
25/07/2021,Films (English),9,Fear Street Part 2: 1978,9100000,3
25/07/2021,Films (English),10,The Twilight Saga: Breaking Dawn: Part 1,8250000,1
25/07/2021,Films (Non-English),1,Blood Red Sky,35930000,1
25/07/2021,Films (Non-English),2,Kingdom: Ashin of the North,16380000,1
25/07/2021,Films (Non-English),3,Chernobyl 1986,8250000,1
25/07/2021,Films (Non-English),4,A Perfect Fit,8000000,2
25/07/2021,Films (Non-English),5,Major Grom: Plague Doctor,7190000,3
25/07/2021,Films (Non-English),6,The Guide to the Perfect Family,4580000,2
25/07/2021,Films (Non-English),7,A Classic Horror Story,4060000,2
25/07/2021,Films (Non-English),8,Deep,3200000,1
25/07/2021,Films (Non-English),9,Tô Ryca,2930000,2
25/07/2021,Films (Non-English),10,Haseen Dillruba,2620000,4
25/07/2021,TV (English),1,Never Have I Ever,50190000,2
25/07/2021,TV (English),2,Virgin River,44890000,3
25/07/2021,TV (English),3,Sex/Life,31200000,4
25/07/2021,TV (English),4,The Good Doctor,25520000,2
25/07/2021,TV (English),5,Never Have I Ever,17400000,1
25/07/2021,TV (English),6,Manifest,16220000,4
25/07/2021,TV (English),7,Atypical,15920000,3
25/07/2021,TV (English),8,Heist,15390000,2
25/07/2021,TV (English),9,Virgin River,14360000,3
25/07/2021,TV (English),10,Virgin River,13770000,2
25/07/2021,TV (Non-English),1,The Cook of Castamar,36650000,3
25/07/2021,TV (Non-English),2,"Newly Rich, Newly Poor",19070000,4
25/07/2021,TV (Non-English),3,Sky Rojo,12980000,1
25/07/2021,TV (Non-English),4,Carrossel,12150000,3
25/07/2021,TV (Non-English),5,The War Next-door,9730000,3
25/07/2021,TV (Non-English),6,Too Hot to Handle: Brazil,9450000,1
25/07/2021,TV (Non-English),7,Elite,9410000,4
25/07/2021,TV (Non-English),8,Hospital Playlist,8070000,2
25/07/2021,TV (Non-English),9,"Nevertheless,",7880000,2
25/07/2021,TV (Non-English),10,Lupin,6840000,4
18/07/2021,Films (English),1,Fear Street Part 3: 1666,20080000,1
18/07/2021,Films (English),2,Fear Street Part 2: 1978,16820000,2
18/07/2021,Films (English),3,Fear Street Part 1: 1994,14370000,3
18/07/2021,Films (English),4,Gunpowder Milkshake,11770000,1
18/07/2021,Films (English),5,The Water Man,11630000,1
18/07/2021,Films (English),6,This Little Love of Mine,8810000,2
18/07/2021,Films (English),7,Wish Dragon,8550000,3
18/07/2021,Films (English),8,Fatherhood,7790000,3
18/07/2021,Films (English),9,Twilight,7640000,1
18/07/2021,Films (English),10,Rust Creek,6560000,1
18/07/2021,Films (Non-English),1,Major Grom: Plague Doctor,21050000,2
18/07/2021,Films (Non-English),2,How I Became a Superhero,9860000,2
18/07/2021,Films (Non-English),3,A Classic Horror Story,9090000,1
18/07/2021,Films (Non-English),4,The Guide to the Perfect Family,5130000,1
18/07/2021,Films (Non-English),5,Haseen Dillruba,4430000,3
18/07/2021,Films (Non-English),6,A Perfect Fit,3170000,1
18/07/2021,Films (Non-English),7,Last Summer,2420000,2
18/07/2021,Films (Non-English),8,Tô Ryca,2210000,1
18/07/2021,Films (Non-English),9,The 8th Night,1860000,3
18/07/2021,Films (Non-English),10,Silver Skates,1780000,3
18/07/2021,TV (English),1,Virgin River,87270000,2
18/07/2021,TV (English),2,Never Have I Ever,58380000,1
18/07/2021,TV (English),3,Sex/Life,45000000,3
18/07/2021,TV (English),4,Atypical,29680000,2
18/07/2021,TV (English),5,Manifest,21350000,3
18/07/2021,TV (English),6,Virgin River,20080000,2
18/07/2021,TV (English),7,The Good Doctor,18980000,1
18/07/2021,TV (English),8,Heist,18710000,1
18/07/2021,TV (English),9,Virgin River,17000000,1
18/07/2021,TV (English),10,Too Hot to Handle,16110000,3
18/07/2021,TV (Non-English),1,The Cook of Castamar,51570000,2
18/07/2021,TV (Non-English),2,"Newly Rich, Newly Poor",21450000,3
18/07/2021,TV (Non-English),3,The War Next-door,14360000,2
18/07/2021,TV (Non-English),4,Elite,14240000,3
18/07/2021,TV (Non-English),5,Elize Matsunaga: Once Upon a Crime,12510000,2
18/07/2021,TV (Non-English),6,Carrossel,11620000,2
18/07/2021,TV (Non-English),7,Lupin,9280000,3
18/07/2021,TV (Non-English),8,Hospital Playlist,8530000,1
18/07/2021,TV (Non-English),9,"Nevertheless,",8130000,1
18/07/2021,TV (Non-English),10,Biohackers,7500000,1
11/07/2021,Films (English),1,Fear Street Part 1: 1994,19550000,2
11/07/2021,Films (English),2,Fear Street Part 2: 1978,16060000,1
11/07/2021,Films (English),3,Fatherhood,12830000,2
11/07/2021,Films (English),4,Warcraft,10990000,2
11/07/2021,Films (English),5,Wish Dragon,10590000,2
11/07/2021,Films (English),6,This Little Love of Mine,9390000,1
11/07/2021,Films (English),7,Mother's Day,9200000,1
11/07/2021,Films (English),8,How to Train Your Dragon: The Hidden World,9030000,1
11/07/2021,Films (English),9,Kung Fu Panda 3,8870000,2
11/07/2021,Films (English),10,The Huntsman: Winter's War,7460000,1
11/07/2021,Films (Non-English),1,Major Grom: Plague Doctor,26150000,1
11/07/2021,Films (Non-English),2,Haseen Dillruba,10210000,2
11/07/2021,Films (Non-English),3,How I Became a Superhero,8820000,1
11/07/2021,Films (Non-English),4,The 8th Night,5960000,2
11/07/2021,Films (Non-English),5,Silver Skates,3110000,2
11/07/2021,Films (Non-English),6,Rurouni Kenshin: The Final,2570000,2
11/07/2021,Films (Non-English),7,Dynasty Warriors,2420000,2
11/07/2021,Films (Non-English),8,Xtreme,1710000,2
11/07/2021,Films (Non-English),9,O Candidato Honesto,1280000,1
11/07/2021,Films (Non-English),10,Last Summer,1270000,1
11/07/2021,TV (English),1,Sex/Life,69860000,2
11/07/2021,TV (English),2,Virgin River,62580000,1
11/07/2021,TV (English),3,Too Hot to Handle,33420000,2
11/07/2021,TV (English),4,Manifest,31940000,2
11/07/2021,TV (English),5,Pokémon Journeys: The Series,21870000,2
11/07/2021,TV (English),6,Atypical,20620000,1
11/07/2021,TV (English),7,Manifest,20070000,2
11/07/2021,TV (English),8,Virgin River,13590000,1
11/07/2021,TV (English),9,Lucifer,13440000,2
11/07/2021,TV (English),10,Sweet Tooth,13100000,2
11/07/2021,TV (Non-English),1,"Newly Rich, Newly Poor",24990000,2
11/07/2021,TV (Non-English),2,Elite,21780000,2
11/07/2021,TV (Non-English),3,The Cook of Castamar,16960000,1
11/07/2021,TV (Non-English),4,The War Next-door,13970000,1
11/07/2021,TV (Non-English),5,Lupin,13150000,2
11/07/2021,TV (Non-English),6,Elize Matsunaga: Once Upon a Crime,11700000,1
11/07/2021,TV (Non-English),7,The Seven Deadly Sins,10110000,2
11/07/2021,TV (Non-English),8,Young Royals,9820000,1
11/07/2021,TV (Non-English),9,Carrossel,9790000,1
11/07/2021,TV (Non-English),10,Somos.,9420000,2
04/07/2021,Films (English),1,Fatherhood,25680000,1
04/07/2021,Films (English),2,Fear Street Part 1: 1994,16620000,1
04/07/2021,Films (English),3,Wish Dragon,15260000,1
04/07/2021,Films (English),4,The Ice Road,13690000,1
04/07/2021,Films (English),5,Good on Paper,10580000,1
04/07/2021,Films (English),6,Kung Fu Panda 3,7690000,1
04/07/2021,Films (English),7,Warcraft,7650000,1
04/07/2021,Films (English),8,Fatale,6460000,1
04/07/2021,Films (English),9,Skylines,6130000,1
04/07/2021,Films (English),10,The Mitchells vs. The Machines,4890000,1
04/07/2021,Films (Non-English),1,Silver Skates,7390000,1
04/07/2021,Films (Non-English),2,Haseen Dillruba,7370000,1
04/07/2021,Films (Non-English),3,Rurouni Kenshin: The Final,5340000,1
04/07/2021,Films (Non-English),4,The 8th Night,4480000,1
04/07/2021,Films (Non-English),5,Dynasty Warriors,4100000,1
04/07/2021,Films (Non-English),6,Security,2950000,1
04/07/2021,Films (Non-English),7,Murder by the Coast,2690000,1
04/07/2021,Films (Non-English),8,Xtreme,2650000,1
04/07/2021,Films (Non-English),9,Rurouni Kenshin: Origins,2150000,1
04/07/2021,Films (Non-English),10,Prime Time,2080000,1
04/07/2021,TV (English),1,Sex/Life,86730000,1
04/07/2021,TV (English),2,Too Hot to Handle,62150000,1
04/07/2021,TV (English),3,Manifest,36330000,1
04/07/2021,TV (English),4,Sweet Tooth,21350000,1
04/07/2021,TV (English),5,Manifest,21330000,1
04/07/2021,TV (English),6,Lucifer,16890000,1
04/07/2021,TV (English),7,Pokémon Journeys: The Series,15350000,1
04/07/2021,TV (English),8,Sophie: A Murder in West Cork,12800000,1
04/07/2021,TV (English),9,CoComelon,11430000,1
04/07/2021,TV (English),10,Lucifer,9550000,1
04/07/2021,TV (Non-English),1,Elite,38720000,1
04/07/2021,TV (Non-English),2,The Seven Deadly Sins,33240000,1
04/07/2021,TV (Non-English),3,"Newly Rich, Newly Poor",28270000,1
04/07/2021,TV (Non-English),4,Lupin,20970000,1
04/07/2021,TV (Non-English),5,Somos.,11510000,1
04/07/2021,TV (Non-English),6,Elite,10530000,1
04/07/2021,TV (Non-English),7,Elite,10200000,1
04/07/2021,TV (Non-English),8,Elite,10140000,1
04/07/2021,TV (Non-English),9,Katla,9190000,1
04/07/2021,TV (Non-English),10,Record of Ragnarok,9140000,1
