season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,prod_code,us_viewers
1,1,1,Pilot,Ken Kwapis,Ricky Gervais & Stephen Merchant and Greg Daniels,24/03/2005,1001,11200000
1,2,2,Diversity Day,Ken Kwapis,B. J. Novak,29/03/2005,1002,6000000
1,3,3,Health Care,Ken Whittingham,Paul Lieberstein,05/04/2005,1006,5800000
1,4,4,The Alliance,Bryan Gordon,Michael Schur,12/04/2005,1004,5400000
1,5,5,Basketball,Greg Daniels,Greg Daniels,19/04/2005,1005,5000000
1,6,6,Hot Girl,Amy Heckerling,Mindy Kaling,26/04/2005,1003,4800000
2,1,7,The Dundies,Greg Daniels,Mindy Kaling,20/09/2005,2003,9000000
2,2,8,Sexual Harassment,Ken Kwapis,B. J. Novak,27/09/2005,2002,7130000
2,3,9,Office Olympics,Paul Feig,Michael Schur,04/10/2005,2004,8300000
2,4,10,The Fire,Ken Kwapis,B. J. Novak,11/10/2005,2001,7600000
2,5,11,Halloween,Paul Feig,Greg Daniels,18/10/2005,2006,8000000
2,6,12,The Fight,Ken Kwapis,Gene Stupnitsky & Lee Eisenberg,01/11/2005,2007,7900000
2,7,13,The Client,Greg Daniels,Paul Lieberstein,08/11/2005,2005,7500000
2,8,14,Performance Review,Paul Feig,Larry Wilmore,15/11/2005,2009,8000000
2,9,15,E-Mail Surveillance,Paul Feig,Jennifer Celotta,22/11/2005,2008,8100000
2,10,16,Christmas Party,Charles McDougall,Michael Schur,06/12/2005,2010,9700000
2,11,17,Booze Cruise,Ken Kwapis,Greg Daniels,05/01/2006,2013,8700000
2,12,18,The Injury,Bryan Gordon,Mindy Kaling,12/01/2006,2011,10300000
2,13,19,The Secret,Dennie Gordon,Lee Eisenberg & Gene Stupnitsky,19/01/2006,2014,8700000
2,14,20,The Carpet,"Victor Nelli, Jr.",Paul Lieberstein,26/01/2006,2012,8600000
2,15,21,Boys and Girls,Dennie Gordon,B. J. Novak,02/02/2006,2015,5420000
2,16,22,Valentine's Day,Greg Daniels,Michael Schur,09/02/2006,2016,8950000
2,17,23,Dwight's Speech,Charles McDougall,Paul Lieberstein,02/03/2006,2017,8400000
2,18,24,Take Your Daughter to Work Day,"Victor Nelli, Jr.",Mindy Kaling,16/03/2006,2018,8800000
2,19,25,Michael's Birthday,Ken Whittingham,Gene Stupnitsky & Lee Eisenberg,30/03/2006,2019,7800000
2,20,26,Drug Testing,Greg Daniels,Jennifer Celotta,27/04/2006,2022,7800000
2,21,27,Conflict Resolution,Charles McDougall,Greg Daniels,04/05/2006,2020,7400000
2,22,28,Casino Night,Ken Kwapis,Steve Carell,11/05/2006,2021,7600000
3,1,29,Gay Witch Hunt,Ken Kwapis,Greg Daniels,21/09/2006,3001,9110000
3,2,30,The Convention,Ken Whittingham,Gene Stupnitsky & Lee Eisenberg,28/09/2006,3006,7780000
3,3,31,The Coup,Greg Daniels,Paul Lieberstein,05/10/2006,3002,8890000
3,4,32,Grief Counseling,Roger Nygard,Jennifer Celotta,12/10/2006,3003,8830000
3,5,33,Initiation,Randall Einhorn,B. J. Novak,19/10/2006,3005,8460000
3,6,34,Diwali,Miguel Arteta,Mindy Kaling,02/11/2006,3004,8810000
3,7,35,Branch Closing,Tucker Gates,Michael Schur,09/11/2006,3007,8050000
3,8,36,The Merger,Ken Whittingham,Brent Forrester,16/11/2006,3008,8630000
3,9,37,The Convict,Jeffrey Blitz,Ricky Gervais & Stephen Merchant,30/11/2006,3010,9070000
3,10,38,A Benihana Christmas,Harold Ramis,Jennifer Celotta,14/12/2006,3009,8440000
3,11,39,A Benihana Christmas,Harold Ramis,Jennifer Celotta,14/12/2006,3014,8440000
3,12,40,Back from Vacation,Julian Farino,Justin Spitzer,04/01/2007,3011,8800000
3,13,41,Traveling Salesmen,Greg Daniels,Michael Schur & Lee Eisenberg & Gene Stupnitsky,11/01/2007,3012,10120000
3,14,42,The Return,Greg Daniels,Lee Eisenberg & Gene Stupnitsky & Michael Schur,18/01/2007,3013,10200000
3,15,43,Ben Franklin,Randall Einhorn,Mindy Kaling,01/02/2007,3015,10110000
3,16,44,Phyllis' Wedding,Ken Whittingham,Caroline Williams,08/02/2007,3016,8840000
3,17,45,Business School,Joss Whedon,Brent Forrester,15/02/2007,3017,8840000
3,18,46,Cocktails,J. J. Abrams,Paul Lieberstein,22/02/2007,3018,8300000
3,19,47,The Negotiation,Jeffrey Blitz,Michael Schur,05/04/2007,3019,6740000
3,20,48,Safety Training,Harold Ramis,B. J. Novak,12/04/2007,3020,7710000
3,21,49,Product Recall,Randall Einhorn,Justin Spitzer & Brent Forrester,26/04/2007,3025,7560000
3,22,50,Women's Appreciation,Tucker Gates,Gene Stupnitsky & Lee Eisenberg,03/05/2007,3021,7000000
3,23,51,Beach Games,Harold Ramis,Jennifer Celotta & Greg Daniels,10/05/2007,3022,7200000
3,24,52,The Job,Ken Kwapis,Paul Lieberstein & Michael Schur,17/05/2007,3023,7880000
3,25,53,The Job,Ken Kwapis,Paul Lieberstein & Michael Schur,17/05/2007,3024,7880000
4,1,54,Fun Run,Greg Daniels,Greg Daniels,27/09/2007,4001,9700000
4,2,55,Fun Run,Greg Daniels,Greg Daniels,27/09/2007,4002,9700000
4,3,56,Dunder Mifflin Infinity,Craig Zisk,Michael Schur,04/10/2007,4003,8490000
4,4,57,Dunder Mifflin Infinity,Craig Zisk,Michael Schur,04/10/2007,4004,8490000
4,5,58,Launch Party,Ken Whittingham,Jennifer Celotta,11/10/2007,4005,8910000
4,6,59,Launch Party,Ken Whittingham,Jennifer Celotta,11/10/2007,4006,8910000
4,7,60,Money,Paul Lieberstein,Paul Lieberstein,18/10/2007,4007,8500000
4,8,61,Money,Paul Lieberstein,Paul Lieberstein,18/10/2007,4008,8500000
4,9,62,Local Ad,Jason Reitman,B. J. Novak,25/10/2007,4009,8980000
4,10,63,Branch Wars,Joss Whedon,Mindy Kaling,01/11/2007,4010,8390000
4,11,64,Survivor Man,Paul Feig,Steve Carell,08/11/2007,4011,8290000
4,12,65,The Deposition,Julian Farino,Lester Lewis,15/11/2007,4012,8860000
4,13,66,Dinner Party,Paul Feig,Gene Stupnitsky & Lee Eisenberg,10/04/2008,4013,9220000
4,14,67,Chair Model,Jeffrey Blitz,B. J. Novak,17/04/2008,4014,9810000
4,15,68,Night Out,Ken Whittingham,Mindy Kaling,24/04/2008,4015,7560000
4,16,69,Did I Stutter?,Randall Einhorn,Brent Forrester & Justin Spitzer,01/05/2008,4016,7670000
4,17,70,Job Fair,Tucker Gates,Lee Eisenberg & Gene Stupnitsky,08/05/2008,4017,7220000
4,18,71,"Goodbye, Toby",Paul Feig,Jennifer Celotta & Paul Lieberstein,15/05/2008,4018,8070000
4,19,72,"Goodbye, Toby",Paul Feig,Jennifer Celotta & Paul Lieberstein,15/05/2008,4019,8070000
5,1,73,Weight Loss,Paul Feig,Lee Eisenberg & Gene Stupnitsky,25/09/2008,5001,9200000
5,2,74,Weight Loss,Paul Feig,Lee Eisenberg & Gene Stupnitsky,25/09/2008,5002,9200000
5,3,75,Business Ethics,Jeffrey Blitz,Ryan Koh,09/10/2008,5003,8990000
5,4,76,Baby Shower,Greg Daniels,Aaron Shure,16/10/2008,5004,8070000
5,5,77,Crime Aid,Jennifer Celotta,Charlie Grandy,23/10/2008,5005,7740000
5,6,78,Employee Transfer,David Rogers,Anthony Q. Farrell,30/10/2008,5006,9320000
5,7,79,Customer Survey,Stephen Merchant,Lester Lewis,06/11/2008,5007,8350000
5,8,80,Business Trip,Randall Einhorn,Brent Forrester,13/11/2008,5009,8180000
5,9,81,Frame Toby,Jason Reitman,Mindy Kaling,20/11/2008,5008,8400000
5,10,82,The Surplus,Paul Feig,Gene Stupnitsky & Lee Eisenberg,04/12/2008,5013,8330000
5,11,83,Moroccan Christmas,Paul Feig,Justin Spitzer,11/12/2008,5010,8790000
5,12,84,The Duel,Dean Holland,Jennifer Celotta,15/01/2009,5011,8500000
5,13,85,Prince Family Paper,Asaad Kelada,B. J. Novak,22/01/2009,5012,8740000
5,14,86,Stress Relief,Jeffrey Blitz,Paul Lieberstein,01/02/2009,5016,22910000
5,15,87,Stress Relief,Jeffrey Blitz,Paul Lieberstein,01/02/2009,5017,22910000
5,16,88,Lecture Circuit: Part 1,Ken Kwapis,Mindy Kaling,05/02/2009,5014,8390000
5,17,89,Lecture Circuit: Part 2,Ken Kwapis,Mindy Kaling,12/02/2009,5015,8890000
5,18,90,Blood Drive,Randall Einhorn,Brent Forrester,05/03/2009,5018,8630000
5,19,91,Golden Ticket,Randall Einhorn,Mindy Kaling,12/03/2009,5019,7510000
5,20,92,New Boss,Paul Feig,Lee Eisenberg & Gene Stupnitsky,19/03/2009,5020,7950000
5,21,93,Two Weeks,Paul Lieberstein,Aaron Shure,26/03/2009,5021,8450000
5,22,94,Dream Team,Paul Feig,B. J. Novak,09/04/2009,5022,7200000
5,23,95,Michael Scott Paper Company,Gene Stupnitsky,Justin Spitzer,09/04/2009,5023,7940000
5,24,96,Heavy Competition,Ken Whittingham,Ryan Koh,16/04/2009,5024,8240000
5,25,97,Broke,Steve Carell,Charlie Grandy,23/04/2009,5025,7210000
5,26,98,Casual Friday,Brent Forrester,Anthony Q. Farrell,30/04/2009,5026,7310000
5,27,99,Cafe Disco,Randall Einhorn,Warren Lieberstein & Halsted Sullivan,07/05/2009,5027,7710000
5,28,100,Company Picnic,Ken Kwapis,Jennifer Celotta & Paul Lieberstein,14/05/2009,5028,6720000
6,1,101,Gossip,Paul Lieberstein,Paul Lieberstein,17/09/2009,6001,8200000
6,2,102,The Meeting,Randall Einhorn,Aaron Shure,24/09/2009,6002,7330000
6,3,103,The Promotion,Jennifer Celotta,Jennifer Celotta,01/10/2009,6003,7280000
6,4,104,Niagara: Part 1,Paul Feig,Greg Daniels & Mindy Kaling,08/10/2009,6004,9420000
6,5,105,Niagara: Part 2,Paul Feig,Greg Daniels & Mindy Kaling,08/10/2009,6005,9420000
6,6,106,Mafia,David Rogers,Brent Forrester,15/10/2009,6006,8100000
6,7,107,The Lover,Lee Eisenberg,Lee Eisenberg & Gene Stupnitsky,22/10/2009,6007,8520000
6,8,108,Koi Pond,Reggie Hudlin,Warren Lieberstein & Halsted Sullivan,29/10/2009,6009,8200000
6,9,109,Double Date,Seth Gordon,Charlie Grandy,05/11/2009,6008,7940000
6,10,110,Murder,Greg Daniels,Daniel Chun,12/11/2009,6010,7760000
6,11,111,Shareholder Meeting,Charles McDougall,Justin Spitzer,19/11/2009,6011,7430000
6,12,112,Scott's Tots,B. J. Novak,Gene Stupnitsky & Lee Eisenberg,03/12/2009,6013,8100000
6,13,113,Secret Santa,Randall Einhorn,Mindy Kaling,10/12/2009,6014,8510000
6,14,114,The Banker,Jeffrey Blitz,Jason Kessler,21/01/2010,6012,7290000
6,15,115,Sabre,John Krasinski,Jennifer Celotta,04/02/2010,6015,7360000
6,16,116,Manager and Salesman,Marc Webb,Mindy Kaling,11/02/2010,6016,7400000
6,17,117,The Delivery: Part 1,Seth Gordon,Daniel Chun,04/03/2010,6018,9000000
6,18,118,The Delivery: Part 2,Harold Ramis,Charlie Grandy,04/03/2010,6019,9000000
6,19,119,St. Patrick's Day,Randall Einhorn,Jonathan Hughes,11/03/2010,6017,7510000
6,20,120,New Leads,Brent Forrester,Brent Forrester,18/03/2010,6020,7630000
6,21,121,Happy Hour,Matt Sohn,B. J. Novak,25/03/2010,6021,7170000
6,22,122,Secretary's Day,Steve Carell,Mindy Kaling,22/04/2010,6022,6300000
6,23,123,Body Language,Mindy Kaling,Justin Spitzer,29/04/2010,6023,7010000
6,24,124,The Cover-Up,Rainn Wilson,Gene Stupnitsky & Lee Eisenberg,06/05/2010,6024,6840000
6,25,125,The Chump,Randall Einhorn,Aaron Shure,13/05/2010,6025,6600000
6,26,126,Whistleblower,Paul Lieberstein,Warren Lieberstein & Halsted Sullivan,20/05/2010,6026,6600000
7,1,127,Nepotism,Jeffrey Blitz,Daniel Chun,23/09/2010,7001,8400000
7,2,128,Counseling,Jeffrey Blitz,B. J. Novak,30/09/2010,7002,7360000
7,3,129,Andy's Play,John Stuart Scott,Charlie Grandy,07/10/2010,7003,6950000
7,4,130,Sex Ed,Paul Lieberstein,Paul Lieberstein,14/10/2010,7004,7360000
7,5,131,The Sting,Randall Einhorn,Mindy Kaling,21/10/2010,7005,6870000
7,6,132,Costume Contest,Dean Holland,Justin Spitzer,28/10/2010,7006,8070000
7,7,133,Christening,Alex Hardcastle,Peter Ocko,04/11/2010,7007,7650000
7,8,134,Viewing Party,Ken Whittingham,Jon Vitti,11/11/2010,7008,7150000
7,9,135,WUPHF.com,Danny Leiner,Aaron Shure,18/11/2010,7009,7280000
7,10,136,China,Charles McDougall,Halsted Sullivan & Warren Lieberstein,02/12/2010,7010,7310000
7,11,137,Classy Christmas,Rainn Wilson,Mindy Kaling,09/12/2010,7011,7180000
7,12,138,Classy Christmas,Rainn Wilson,Mindy Kaling,09/12/2010,7012,7180000
7,13,139,Ultimatum,David Rogers,Carrie Kemper,20/01/2011,7013,8260000
7,14,140,The Seminar,B. J. Novak,Steve Hely,27/01/2011,7014,7930000
7,15,141,The Search,Michael Spiller,Brent Forrester,03/02/2011,7015,7290000
7,16,142,PDA,Greg Daniels,Robert Padnick,10/02/2011,7017,6900000
7,17,143,Threat Level Midnight,Tucker Gates,B. J. Novak,17/02/2011,7016,6410000
7,18,144,Todd Packer,Randall Einhorn,Amelie Gillette,24/02/2011,7018,6120000
7,19,145,Garage Sale,Steve Carell,Jon Vitti,24/03/2011,7019,7070000
7,20,146,Training Day,Paul Lieberstein,Daniel Chun,14/04/2011,7020,7870000
7,21,147,Michael's Last Dundies,Mindy Kaling,Mindy Kaling,21/04/2011,7021,6850000
7,22,148,"Goodbye, Michael",Paul Feig,Greg Daniels,28/04/2011,7022,8420000
7,23,149,The Inner Circle,Matt Sohn,Charlie Grandy,05/05/2011,7023,6900000
7,24,150,"Dwight K. Schrute, (Acting) Manager",Troy Miller,Justin Spitzer,12/05/2011,7024,6450000
7,25,151,Search Committee,Jeffrey Blitz,Paul Lieberstein,19/05/2011,7025,7290000
7,26,152,Search Committee,Jeffrey Blitz,Paul Lieberstein,19/05/2011,7026,7290000
8,1,153,The List,B. J. Novak,B. J. Novak,22/09/2011,8002,7640000
8,2,154,The Incentive,Charles McDougall,Paul Lieberstein,29/09/2011,8001,6700000
8,3,155,Lotto,John Krasinski,Charlie Grandy,06/10/2011,8005,5820000
8,4,156,Garden Party,David Rogers,Justin Spitzer,13/10/2011,8004,6080000
8,5,157,Spooked,Randall Einhorn,Carrie Kemper,27/10/2011,8006,5530000
8,6,158,Doomsday,Troy Miller,Daniel Chun,03/11/2011,8003,6150000
8,7,159,Pam's Replacement,Matt Sohn,Allison Silverman,10/11/2011,8007,5960000
8,8,160,Gettysburg,Jeffrey Blitz,Robert Padnick,17/11/2011,8008,5500000
8,9,161,Mrs. California,Charlie Grandy,Dan Greaney,01/12/2011,8009,5710000
8,10,162,Christmas Wishes,Ed Helms,Mindy Kaling,08/12/2011,8010,5790000
8,11,163,Trivia,B. J. Novak,Steve Hely,12/01/2012,8011,5900000
8,12,164,Pool Party,Charles McDougall,Owen Ellickson,19/01/2012,8012,6020000
8,13,165,Jury Duty,Eric Appel,Aaron Shure,02/02/2012,8013,5310000
8,14,166,Special Project,David Rogers,Amelie Gillette,09/02/2012,8014,5190000
8,15,167,Tallahassee,Matt Sohn,Daniel Chun,16/02/2012,8015,4380000
8,16,168,After Hours,Brian Baumgartner,Halsted Sullivan & Warren Lieberstein,23/02/2012,8016,5020000
8,17,169,Test the Store,Brent Forrester,Mindy Kaling,01/03/2012,8017,4950000
8,18,170,Last Day in Florida,Matt Sohn,Robert Padnick,08/03/2012,8018,4890000
8,19,171,Get the Girl,Rainn Wilson,Charlie Grandy,15/03/2012,8019,4870000
8,20,172,Welcome Party,Ed Helms,Steve Hely,12/04/2012,8020,4390000
8,21,173,Angry Andy,Claire Scanlon,Justin Spitzer,19/04/2012,8021,4350000
8,22,174,Fundraiser,David Rogers,Owen Ellickson,26/04/2012,8022,4170000
8,23,175,Turf War,Daniel Chun,Warren Lieberstein & Halsted Sullivan,03/05/2012,8023,4440000
8,24,176,Free Family Portrait Studio,B. J. Novak,B. J. Novak,10/05/2012,8024,4490000
9,1,177,New Guys,Greg Daniels,Greg Daniels,20/09/2012,9001,4280000
9,2,178,Roy's Wedding,Matt Sohn,Allison Silverman,27/09/2012,9002,4130000
9,3,179,Andy's Ancestry,David Rogers,Jonathan Green & Gabe Miller,04/10/2012,9003,4140000
9,4,180,Work Bus,Bryan Cranston,Brent Forrester,18/10/2012,9004,4280000
9,5,181,Here Comes Treble,Claire Scanlon,Owen Ellickson,25/10/2012,9006,4000000
9,6,182,The Boat,John Krasinski,Dan Sterling,08/11/2012,9007,4830000
9,7,183,The Whale,Rodman Flender,Carrie Kemper,15/11/2012,9008,4160000
9,8,184,The Target,Brent Forrester,Graham Wagner,29/11/2012,9009,3880000
9,9,185,Dwight Christmas,Charles McDougall,Robert Padnick,06/12/2012,9010,4160000
9,10,186,Lice,Rodman Flender,Niki Schwartz-Wright,10/01/2013,9011,4540000
9,11,187,Suit Warehouse,Matt Sohn,Dan Greaney,17/01/2013,9012,4150000
9,12,188,Customer Loyalty,Kelly Cantley,Jonathan Green & Gabe Miller,24/01/2013,9013,4190000
9,13,189,Junior Salesman,David Rogers,Carrie Kemper,31/01/2013,9014,4450000
9,14,190,Vandalism,Lee Kirk,Owen Ellickson,31/01/2013,9015,3970000
9,15,191,Couples Discount,Troy Miller,Allison Silverman,07/02/2013,9016,4150000
9,16,192,Moving On,Jon Favreau,Graham Wagner,14/02/2013,9017,4060000
9,17,193,The Farm,Paul Lieberstein,Paul Lieberstein,14/03/2013,9005,3540000
9,18,194,Promos,Jennifer Celotta,Tim McAuliffe,04/04/2013,9018,3440000
9,19,195,Stairmageddon,Matt Sohn,Dan Sterling,11/04/2013,9019,3830000
9,20,196,Paper Airplane,Jesse Peretz,Halsted Sullivan & Warren Lieberstein,25/04/2013,9020,3250000
9,21,197,Livin' the Dream,Jeffrey Blitz,Niki Schwartz-Wright,02/05/2013,9021,3510000
9,22,198,A.A.R.M.,David Rogers,Brent Forrester,09/05/2013,9022,4560000
9,23,199,A.A.R.M.,David Rogers,Brent Forrester,09/05/2013,9023,4560000
9,24,200,Finale,Ken Kwapis,Greg Daniels,16/05/2013,9024,5690000
9,25,201,Finale,Ken Kwapis,Greg Daniels,16/05/2013,9025,5690000
